signal_date,code,c24,c30,jump_bps,exit_target
2026-05-29,69810,9922.0,9625.0,-299.3,next_day_0900_0915
2026-05-29,69540,8096.0,7892.0,-252.0,next_day_0900_0915
2026-05-29,82670,1418.5,1391.5,-190.3,next_day_0900_0915
2026-05-29,65010,5247.0,5166.0,-154.4,next_day_0900_0915
2026-05-29,80530,7208.0,7099.0,-151.2,next_day_0900_0915
2026-05-29,67520,3754.0,3700.0,-143.8,next_day_0900_0915
2026-05-29,60980,10720.0,10570.0,-139.9,next_day_0900_0915
2026-05-29,83160,5893.0,5819.0,-125.6,next_day_0900_0915
2026-05-29,69760,14995.0,14815.0,-120.0,next_day_0900_0915
2026-05-29,87290,141.7,140.0,-120.0,next_day_0900_0915
2026-05-29,87660,7196.0,7111.0,-118.1,next_day_0900_0915
2026-05-29,57130,9200.0,9093.0,-116.3,next_day_0900_0915
2026-05-29,91010,5375.0,5313.0,-115.3,next_day_0900_0915
2026-05-29,65060,7281.0,7208.0,-100.3,next_day_0900_0915
2026-05-29,54010,572.3,566.6,-99.6,next_day_0900_0915
2026-05-29,67010,4144.0,4103.0,-98.9,next_day_0900_0915
2026-05-29,84730,2939.0,2910.0,-98.7,next_day_0900_0915
2026-05-29,70130,2794.0,2766.5,-98.4,next_day_0900_0915
2026-05-29,77510,4269.0,4228.0,-96.0,next_day_0900_0915
2026-05-29,67020,3400.0,3368.0,-94.1,next_day_0900_0915
2026-05-29,49010,3353.0,3322.0,-92.5,next_day_0900_0915
2026-05-29,65250,8284.0,8211.0,-88.1,next_day_0900_0915
2026-05-29,80310,5336.0,5290.0,-86.2,next_day_0900_0915
2026-05-29,31100,22860.0,22670.0,-83.1,next_day_0900_0915
2026-05-29,81360,863.3,856.2,-82.2,next_day_0900_0915
2026-05-29,80010,1951.5,1935.5,-82.0,next_day_0900_0915
2026-05-29,85910,6286.0,6237.0,-78.0,next_day_0900_0915
2026-05-29,83080,2055.5,2039.5,-77.8,next_day_0900_0915
2026-05-29,87250,4320.0,4287.0,-76.4,next_day_0900_0915
2026-05-29,69020,1922.5,1908.0,-75.4,next_day_0900_0915
2026-05-29,33820,1873.5,1859.5,-74.7,next_day_0900_0915
2026-05-29,61460,65580.0,65090.0,-74.7,next_day_0900_0915
2026-05-29,67580,3469.0,3444.0,-72.1,next_day_0900_0915
2026-05-29,72030,3063.0,3042.0,-68.6,next_day_0900_0915
2026-05-29,68610,80660.0,80110.0,-68.2,next_day_0900_0915
2026-05-29,65260,2652.5,2635.0,-66.0,next_day_0900_0915
2026-05-29,80350,52760.0,52420.0,-64.4,next_day_0900_0915
2026-05-29,91040,5508.0,5476.0,-58.1,next_day_0900_0915
2026-05-29,70030,4482.0,4456.0,-58.0,next_day_0900_0915
2026-05-29,40040,18825.0,18720.0,-55.8,next_day_0900_0915
2026-05-29,94340,216.5,215.3,-55.4,next_day_0900_0915
2026-05-29,84110,7235.0,7195.0,-55.3,next_day_0900_0915
2026-05-29,67230,4525.0,4500.0,-55.2,next_day_0900_0915
2026-05-29,58030,4797.0,4771.0,-54.2,next_day_0900_0915
2026-05-29,77350,11180.0,11120.0,-53.7,next_day_0900_0915
2026-05-29,88010,1538.5,1530.5,-52.0,next_day_0900_0915
2026-05-29,72690,1983.5,1973.5,-50.4,next_day_0900_0915
2026-07-03,80350,73810.0,73200.0,-82.6,next_day_0900_0915
2026-07-03,581A0,2394.0,2376.0,-75.2,next_day_0900_0915
2026-07-03,285A0,83780.0,83300.0,-57.3,next_day_0900_0915
2026-07-03,63610,6094.0,6063.0,-50.9,next_day_0900_0915
2026-07-06,63610,6261.0,6223.0,-60.7,next_day_0900_0915
2026-07-06,62690,10300.0,10240.0,-58.3,next_day_0900_0915
2026-07-06,57060,37730.0,37520.0,-55.7,next_day_0900_0915
2026-07-06,43070,5113.0,5087.0,-50.9,next_day_0900_0915
2026-07-07,69630,5413.0,5361.0,-96.1,next_day_0900_0915
